ID;title;url;author;institutionName;institutionUrl;helix;role;expertise;description;appendixUrl
272;Looking to join a consortium for medical calls;https://crowdhelix.com/opportunities/looking-to-join-a-consortium-for-medical-calls-231;Tomaz Lutman;Jozef Stefan Institute;;Health, Materials;Individual Expert;Atmospheric pressure plasma, Medical devices, Medical genetics, Medical diagnostics;"The Jozef Stefan Institute (JSI) is the leading Slovenian scientific research institute, covering a broad spectrum of basic and applied research. The staff of more than 900 members is specialized in natural sciences and engineering.A group of scientists is doing research in the field of plasma technology, nanotechnologies and surface engineering. They have developed several technologies related to medical diagnostics and medical equipment:Method for preparation of microvesicle low bind diagnostic tools (mostly reaction tubes) using plasma.Several methods for modification of medical equipment’s surface (vascular stent, cardiovascular implants, artificial heart valves).On behalf of research group of Jozef Stefan Institute we offer their expertise in order to join consortium, which would apply for the following H2020 topics:IMI2-2016-10-01 Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials;IMI2-2016-10-05 Biomanufacturing 2020: Development of Innovative high throughput analytical tools and methods to characterize cell culture fluid during development and commercial cell culture processes;IMI2-2016-10-06 Unlocking the Solute Carrier Gene-Family for Effective New Therapies (Unlock SLCs);SC1-PM-03-2017 Diagnostic characterisation of rare diseases;We are also looking forward for collaborators for the forthcoming topics in this area. Please contact me on email: tomaz.lutman@ijs.si";https://ec.europa.eu/info/research-and-innovation_en
273;Offering Expertise for COVID-19 Helix & Health Projects;https://crowdhelix.com/opportunities/offering-expertise-for-covid-19-helix-health-projects-1-959;Mireia Gimenez;LEITAT Technological Center;https://crowdhelix.com/organisation/leitat-technological-center-19;Health, COVID-19;Work Package Leader, Consortium Partner, Individual Expert;Drug discovery, Remote sensing, Biomarkers, Bioinformatics, Theranostics, Metabolomics, Antibody engineering, Hyphenated mass spectrometry, Bioanalytics, Preclinical in vitro & in vivo models;In response to the current Covid-19 emergency we are offering our wide technological expertise in Antibody Engineering Expertise and extensive preclinical studies expertise.LEITAT is a Technological Centre specialized in production technologies, developing R&D activities in the areas of materials sciences, environment, biotechnologies and renewable energies with deep knowledge and experience in technological transfers to several industrial sectors.The Health and Biomedicine Department at LEITAT offers strong expertise on the following fields:• Antibody Engineering Expertise: The antibody & engineering division is specialized in monoclonal antibodies, nanobodies and humanization.• Metabolomics & Bioanalytics: The metabolomics & bioanalytics division at LEITAT technological center is specialized in hyphenated mass spectrometry and bioinformatics.• Diagnosis & biosensors: The diagnosis & biosensors division is specialized in biomarkers, theranostics, remote sensing.• ADMETox: Drug discovery and development processes (biodistribution studies, Maximun Tolerated Dose studies, etc).• Wide preclinical in vitro and in vivo modelsWe are seeking partners to discuss possible collaboration opportunities within the upcoming COVID and H2020 Calls. You can find a detailed information about the offered technologies in the attached document.Please, do not hesitate to contact us, via the Platform or the details provided in the document, if you need any additional information.;https://crowdhelix.com/uploads/post_attachments/5e827bc4a6053_Leitat%20Crowdhelix%20COVID%20-%20attachment.pdf
274;Seeking collaborators for “IMI2-21-2020: Development of therapeutics and diagnostics combatting coronavirus infections.”;https://crowdhelix.com/opportunities/seeking-collaborators-for-imi2-21-2020-development-of-therapeutics-and-diagnostics-combatting-coronavirus-infections-935;Grant Office Officina;Universita degli Studi di Milano;https://crowdhelix.com/organisation/universita-degli-studi-di-milano-9;Health, Security, COVID-19;Consortium Partner;Diagnostics, Immunology, Therapeutics, Coronavirus, Infectious disease control;"The research team of Prof. Mario Clerici, chair of Immunology and Infectious Diseases at the Università degli Studi di Milano (UMIL) is interested in joining a consortium for the topic “IMI2-21-2020: Development of therapeutics and diagnostics combatting coronavirus infections”.Prof. Clerici’ research team represents one of the major worldwide groups involved in the study of immunological and genetic factors conferring protection from acquisition and progression of viral infections. They lead several research projects on pathogenesis of infectious diseases. As far as this topic is concerned, they offer expertise in innate and adaptive immune responses to viral infections, pro- and anti-inflammatory determination, primary cell culture, cellular lines, microarray, genCheap, RT-PCR, cell cytometry, confocal microscopy. They have a BLS3 lab to work with viruses. Their skills include also design and synthesis of organic and bio-organic molecules, computer modeling, NMR interaction studies applied to the development of novel antiviral approaches.Bibliography: J Transl Med. 2019,17, 286, Sci Rep. 2016 2;6:27148, AIDS. 2020, 34, 646; Front Immunol. 2018, 9:214; Scientific Reports 2016, 6, 35373; Chemistry Eur J 2019, 25, 14659; For more information please contact Prof. Mario Clerici (mario.clerici@unimi.it) and Prof. Daria Trabattoni (daria.trabattoni@unimi.it).";
275;Seeking an expert in Ethics and Privacy for SC1-DTH-04-2020 proposal;https://crowdhelix.com/opportunities/seeking-an-expert-in-ethics-and-privacy-for-sc1-dth-04-2020-proposal-1052;Alejandro Rodríguez González;Universidad Politecnica de Madrid;https://crowdhelix.com/organisation/universidad-politecnica-de-madrid-6;Health, Cybersecurity, Digital;Coordinator;Ethics, Gdpr, Data privacy;We are looking for a partner interested to join a consortium for call SC1-DTH-04-2020. We are seeking a partner being responsible for Ethics and Privacy work package/tasks. The project aims to analyze patient data from several countries that will need to be analyzed by technical partners that will be in other countries. Specific expertise about data privacy and regulation as well as ethics in the digital health sector is required.;
276;position on therapeutic innovation in the EU;https://crowdhelix.com/opportunities/position-on-therapeutic-innovation-in-the-eu-46;Frauke Christ;KU Leuven;https://crowdhelix.com/organisation/ku-leuven-3;Health;Individual Expert;Health;"The Health Helix has prepared a position paper ""Therapeutic innovation in the EU: An opportunity to strengthen R&D&I competitiveness"" (https://goo.gl/U9VfiW). This paper is now open for consultation in the Health Helix. Please contact me in case you have any suggestions/remarks (frauke.christ@med.kuleuven.be).";https://crowdhelix.com/uploads/post_attachments/Vision2020%20Health%20Helix%20-%20Therapeutic%20Innovation%20Position_1.pdf
277;Seeking collaborators for 'Behavioural, social and economic impacts of the outbreak response';https://crowdhelix.com/opportunities/seeking-collaborators-for-behavioural-social-and-economic-impacts-of-the-outbreak-response-1036;Giampietro Gobo;Universita degli Studi di Milano;https://crowdhelix.com/organisation/universita-degli-studi-di-milano-9;Health, Society, COVID-19;Consortium Partner, Individual Expert;Sociology of health and medicine, Vaccination policies, Science and techology studies, Qualitative research methods, Survey methods, Scientific controversies, Cooperation in teamworks;The research team “workplace studies” of the Università degli Studi di Milano (UMIL) is interested in joining a consortium in H2020 topic “SC1-PHE-CORONAVIRUS-2020-2C”- Research and Innovation action.As far as this topic is concerned, workplace studies group offers expertise in identifying the social impact and unintended consequences of epidemic-control decisions and heath policies, cultural models of hesitancy and resistance towards immunization policies, rhetorical strategies for communicating science, and scientific controversies on health issues.For more information you can contact Prof. Giampietro Gobo (giampietro.gobo@unimi.it).;
278;URGENT: Coordinator seeking three hospitals or university hospitals for the SC1-PHE-CORONAVIRUS-2020-2B call to join a consortium;https://crowdhelix.com/opportunities/urgent-coordinator-seeking-three-hospitals-or-university-hospitals-for-the-sc1-phe-coronavirus-2020-2b-call-to-join-a-consortium-1049;Cais Jurgens;Crowdhelix;https://crowdhelix.com/organisation/crowdhelix-134;Health, Digital, COVID-19;Coordinator, Consortium Partner;Medical technologies, Ai, Hospitals, Diagnosis, Covid-19, Digital tools, Non invasive, Viral infection;A leading Bulgarian company, Imagga Technologies LTD, specialising in image recognition is preparing a project proposal to address the SC1-PHE-CORONAVIRUS-2020-2B Horizon 2020 call. The project aims at developing and commercialising a non-invasive AI-powered solution for diagnosis and progress monitoring of COVD-19. It works via portable thermal camera and a smartphone.To validate the technology, the consortium is looking for 3 (university) hospitals from different countries to take part in the study which will be managed by a highly experienced CRO. The study aims to collect data on clinical manifestations in patients with established viral infection but having mild symptoms, not in ICU.Interested partners can respond in the comments section or via direct message.;
279;MSCA Individual Fellowships at the Irish Centre for Maternal and Child Health Research;https://crowdhelix.com/opportunities/msca-individual-fellowships-at-the-irish-centre-for-maternal-and-child-health-research-1008;Eoghan McKernan;University College Cork;https://crowdhelix.com/organisation/university-college-cork-13;Health, Talent;Coordinator;"Biomarkers
 
Machine learning
 
Eeg
 
Artificial intelligence
 
Paediatrics
 
Connected health
 
Omics
 
Food allergy
 
Neonatal physiology
 
Pregnancy loss
 
Biomedical signal processing, Fetal and maternal health, Maternal and infant nutrition, Neuroscience and development, Perinatal compliations, Functional mri";"The Irish Centre for Maternal and Child Health Research, INFANT wishes to recruit high-calibre, motivated, experienced researchers through the Marie Skłodowska-Curie Actions 2020 Individual Fellowship Programme.INFANT is located, mainly, at University College Cork and is Ireland’s first translational research centre focused on the following clinical domains: pregnancy, birth and infancy as well as ongoing maternal and child health and development.Interested MSCA IF candidates will be seeking to conduct research within the clinical domains of INFANT’s research programme and will have expertise in one or more of INFANT’s INFANT’s 3 core research themes: 1. Neuroscience and Development, 2. Fetal and Maternal Heath, 3. Nutrition and Growth.INFANT’s research is underpinned by 6 research platforms, state-of-the art research infrastructure and technologies expertise: Omics; Connected Health; Early Life Lab; Biomedical Data Analytics;Patient Cohorts; and clinical Trials.INFANT is ideally placed to host MSCA Fellows with an interest in our clinical domains given: our location at Cork University Hospital/Cork University Maternity Hospital – one of Europe’s busiest maternity hospitals with over 8,000 births per year; our excellent research infrastructure including on-site laboratory and biobanking facilities, physiological databank and datahub and developmental assessment platform.Clinicians, nurses, physiologists, physiotherapists and psychologists identify clinical needs, guide development and provide recruitment capability. Technological expertise from engineers, system engineers, signal processors, software developers and computer scientists provide ‘hand in glove’ algorithm and software development. Research support in the areas of Biobanking, Regulatory, Quality, Monitoring, Biostatistics, Finance and Project Management is provided by experienced INFANT staff. High tech industry collaborations are aligned to individual projects.Interested candidates should contact the INANT supervisor with whom they wish to work (https://www.infantcentre.ie/re...) by June 22nd 2020, 17:00 Irish Time (CET -1). Candidates should send the potential supervisor a CV (5 pages max) and an overview of at least one potential research project idea which can be explored further with the supervisor.Once an IF candidate and INFANT Supervisor agree to work together, the candidate will receive support from the supervisor and INFANT team, including EU Grant Manager, Finance Manager and Clinical Research Manager throughout the application development process and, if successful, beyond to grant set-up and research study support.Please address any general queries about applying for this programme at INFANT to infantmsca@ucc.ie.";
280;EU COVID CALL: Potential contribution on MENTAL HEALTH and other issues - looking for consortium;https://crowdhelix.com/opportunities/eu-covid-call-potential-contribution-on-mental-health-and-other-issues-looking-for-consortium-1034;Daniel Spichtinger;Ludwig Boltzmann Gesellschaft;https://crowdhelix.com/organisation/ludwig-boltzmann-gesellschaft-300;Health, COVID-19;Work Package Leader, Consortium Partner;Public health, Project coordination, Epidemics, Covid-19, Pandemics;"1. About the LBG;The Ludwig Boltzmann Gesellschaft (LBG) is a research institution focusing on medicine, life sciences, humanities, social and cultural sciences and initiating new research topics of particular societal relevance in Austria. The LBG currently operates 19 Ludwig Boltzmann Institutes together with academic and applied partners and develops and tests new forms of cooperation between science and non-scientific actors such as companies, the public sector and civil society. 2. What we are looking for / what we can offer;The LBG would like to contribute its expertise in a variety of scientific areas related to the EU COVID call, in particular topics “SC1-PHE-CORONAVIRUS-2020-2C – Behavioural, social and economic impacts of the outbreak response” and ”SC1-PHE-CORONAVIRUS-2020-2D – Pan-European COVOD-19 Cohorts”. We are looking to join a consortium as work package leader or contributor, depending on the needs of the consortium. In the context of the call we can contribute the expertise of our currently running projects on mental health (section 3 below), the impact of COVID measures on vulnerable families (section 4) as well as psychosocial support for children and families (section 5). Additionally, the LBG is running several medical COVID projects (summarised in section 6). These LBG initiatives are described in detail below and can be (partially or in their entirety) upscaled as a work package in the context of the COVID call – or as individual tasks within work packages – depending on the needs and structure of the consortium. 3. Potential contribution on mental health: the “have your say” initiative;The corona pandemic and corresponding measures to contain the virus affect us all. That is why the Ludwig Boltzmann Gesellschaft has launched the initiative ""Tell us! What does Corona do with our mental health?"". Everyone can contribute observations on the effects of the Corona crisis on mental health to themselves and others on the online platform corona.lbg.ac.at. Contributions are possible until June 28th in the broad thematic focus areas “Education and Learning”, “Work and Occupation” and “Social Isolation and Loneliness”. These contributions from crowdsourcing flow directly into a series of co-creation workshops and serve as a basis for an interdisciplinary team of experts and practitioners to develop recommendations for action for politics as well as new research questions.For detailed information on that Open Innovation in Science initiative of LBG in relation to the impact of the current Corona virus crisis on the mental health in several societal areas and among several (vulnerable) societal groups see: https://corona.lbg.ac.at/; 4. Vulnerable families: COVID as part of our Village project;Responding to COVID-19 measures and enhancing reach for particularly vulnerable families has been integrated into the already running “Village” project to respond to family isolation and strengthen support for children living with a parent with a mental illness.Through open innovation in science methods, we will co-design training and online activities which will foster engagement and trust building between Village Facilitators, parents, and children involved in the project. This initiative is a direct response to the COVID-19 pandemic and measures put in place in Tyrol since the 15th of March 2020.Online activities will be co-designed and will include: (1) an online training suite for practitioners, and (2) tools and activities to support family and child engagement to understand the everyday life of the child and enhance their social support. Specifically, the focus of this OIS initiative will be the topic of supporting engagement and trust-building.5. Psychosocial support measures for children and families: DOT;In this cooperation project, the opportunities and challenges of the psychosocial care system in its upheaval due to the Corona crisis are being researched. together with the Austrian League for Child and Adolescent Health.Important learning experiences in terms of social solidarity and digitization are currently taking place within psychosocial care services for children, adolescents and families, which will influence future psychosocial care. These changes are relevant for the research group in order to optimize the (digital) offer developed by DOT for crises and exceptional situations.The results of the study will include well-founded, practically relevant and feasible proposals for dealing with challenges arising from the crisis and for dealing with future social crises in the sense of maintaining social ties. They also inform about the optimization of the digital offerings of the research group DOT for such crises. This project focuses on cooperation with network partners from the psychosocial care sector and their needs in practical work.6. Medical researchA variety of Ludwig Boltzmann Institutes are conducting medial research related to COVID, including:• The number of unreported cases and immunity in Vienna's population;• Susceptibility of patients with chronic lung disease to SARS-CoV2 infection;• Impact of COVID-19 in CML and Mastocytosis;• Expert Opinion und Recommendations for Patients with Mastocytosis in the COVID-19 Era:• Anti-COVID-19 Effects of Various Kinase Inhibitors, Mast Cell Products and Vitamin D;• telemedical solution for intensive care units in Vienna’s General Hospital;7. Contact and more information;Detailed information on the projects and initiatives described above can be obtained through the LBG Central Grants office, which will also coordinate the input of the respective institutes to the call. For further information please contact Jürgen Busch (juergen.busch@lbg.ac.at) and Daniel Spichtinger (Daniel.spichtinger@lbg.ac.at).Paperclip Icon ";https://crowdhelix.com/uploads/post_attachments/5ec4f275685d4_EU%20COVID%20CALL%20LBG%20CONTRIBUTION_FINAL.pdf
281;Seeking a respiratory clinic outside Italy to set up gamified rehab system;https://crowdhelix.com/opportunities/seeking-a-respiratory-clinic-outside-italy-to-set-up-gamified-rehab-system-1029;Lucia Pannese;Imaginary;;Health, Virtual Reality, COVID-19;Coordinator;Rehabilitation, Respiratory diseases, Digital healthcare, Rehabilitation & assistive technologies, Clinical expertise;"We are aiming at an EIT funding to create the twin system of our REHABILITY www.rehability.me to offer respiratory rehabilitation; REHABILITY offers now a neurology and a kids version and therapy is game-based. The system is designed to organise tele-rehabilitation in a scalable way.Now we need a clinical partner - expert in respiratory rehabilitation - to give us the scientific background to create the new set of games for respiratory patients and test them. The project (if funded) will start in July 2020 and finish by the end of the year (6 months).Deadline 25 May - the project is already prepared; Should you be interested we can discuss your role more in detail. Please contact me at lucia.pannese@i-maginary.it";
282;Group of Hospitals, AI and ICT experts seeking a consortium to address COVID-19 calls;https://crowdhelix.com/opportunities/group-of-hospitals-ai-and-ict-experts-seeking-a-consortium-to-address-covid-19-calls-1017;Livia Torterolo;Network Integration and Solutions;https://crowdhelix.com/organisation/network-integration-and-solutions-249;Health, Digital, COVID-19;Work Package Leader, Consortium Partner;"Artificial intelligence, Data integration, Predictive analytics, Clinical data, Big data analysis;, Genomics data, Covid-19, Research support resources for covid-19";"A group of Italian Hospitals, together with 2 expert companies on AI and ICT platforms, start working on a project idea on COVID-19, and are seeking a Coordinator and other partners to target COVID-19 calls.The idea is to create an Artificial Intelligence platform for the definition of a diagnostic and prognostic score of COVID-19 subjects and the prediction of disease risk in healthy subjects.The escalating platform will be based on a radio-genomic multiparametric approach, based on data-lake including:• Diagnostic imaging features;• Clinical parameters;• Cytokine profile;• Genomic profiling of subjects;• Genomic profile of viruses in the regions interested by the study;Hospitals already involved are available to share this kind of data for project purposes. New ones will be able to enrich the current dataset.Microsoft and Nvidia are supporting the partners in ICT platform development for data analysis.Please contact me at: livia.torterolo@nispro.it";https://crowdhelix.com/uploads/post_attachments/5eb2c153c3828_Abstract%20AI-SCORE%20public.pdf
283;In-silico Trials Methodology Partner Required;https://crowdhelix.com/opportunities/in-silico-trials-methodology-partner-required-1028;Cigdem Tasci Tochniti;University of Leeds;https://crowdhelix.com/organisation/university-of-leeds-8;Health, Digital;Work Package Leader, Consortium Partner, Individual Expert;Clinical trials, In-silico trials, Biostatistics, Cardio-vascular diseases, In silico clinical trials;We are looking for a partner with extensive experience in trial design and methodology for cardiovascular devices, experience in influencing policy of regulatory bodies (FDA, EMA, MHRA). The partners should be interested in developing innovative clinical trial designs of medical devices using modelling and simulation technologies.;
284;Seeking an international collaborator for the upcoming M-ERA.NET Call 2020;https://crowdhelix.com/opportunities/seeking-an-international-collaborator-for-the-upcoming-m-era-net-call-2020-1021;Hadar Ben-Yoav;Ben-Gurion University of the Negev;https://crowdhelix.com/organisation/ben-gurion-university-of-the-negev-460;Health, Materials;Consortium Partner;Biomaterials, Biofouling, Biomaterial characterization, Implantable devices;For a project focused on developing an in vivo implantable sensor, we are looking for a collaborator who is expert in characterizing the biomaterials that biofoul the surface of the sensor.About the call, The aim is to fund ambitious transnational RTD projects addressing materials research and innovation including materials for low carbon energy technologies and related production technologies. M-ERA.NET aims to strengthen the contribution of materials R&D to energy-related applications where applicable.For the list of participating countries - https://m-era.net/joint-calls/...;
285;French SME, microfluidics expert, offers its expertise for 'Digital diagnostics - developing tools for supporting clinical decisions';https://crowdhelix.com/opportunities/french-sme-microfluidics-expert-offers-its-expertise-for-digital-diagnostics-developing-tools-for-supporting-clinical-decisions-924;Noémi Thomazo;Elvesys;https://crowdhelix.com/organisation/elvesys-441;Health;Work Package Leader, Consortium Partner;"Big data, Artificial intelligence, Big data analysis;, Diagnosis, Point of care diagnostics";Elvesys is a French innovative SME dedicated to flow management and microfluidic instrumentation.Our core interest is to participate in research consortia linked to microfluidics, to develop the microfluidic system adapted to your specific application. For example, we can help you to develop a portable and compact solution to inject and handle your biological sample into the diagnostic device.We already bring our expertise to more than 30 European projects, we would be glad to help you to develop the innovative microfluidic device that fits your project needs.;
286;Seeking diagnostic device manufacturers to complement consortium;https://crowdhelix.com/opportunities/seeking-diagnostic-device-manufacturers-to-complement-consortium-1019;Simon Lin;Symptoma;https://crowdhelix.com/organisation/symptoma-10315;Health, Digital, Manufacturing;Coordinator;Diagnostic tools development, Hardware, Applied diagnostics, Point of care diagnostics, Diagnostic tests;Diagnostic device manufacturers can join a high yield project proposal involving 5 clinical partners (including Boston children's hospital) and 5 technical partners from 9 different countries.Partners should be interested in expanding their diagnostic hardware tools by integration into an AI based diagnostic platform, which puts diagnostic readings from hardware into context taking symptoms, signs and other findings of patients into account.Proposal building will be supported by professional consultancy services.Symptoma has extensive experience in EU funded instruments (Winner of SME instruments phase 2, SC1-DTH01-2019, multiple Eurostars and EUREKA);
287;Seeking a consortium for the call Swafs-30-2020: Responsible Open Science: an ethics integrity perspective.;https://crowdhelix.com/opportunities/seeking-a-consortium-for-the-call-swafs-30-2020-responsible-open-science-an-ethics-integrity-perspective-931;Clara Caminal;Fundació Institut de Recerca Biomèdica (IRB Barcelona);;Health, Open Science;Consortium Partner;Ethics, Training, Research integrity;IRB Barcelona’s research purpose is to address fundamental biological questions in order to provide groundbreaking solutions to unmet medical needs. Our institute is organised around three major research challenges, namely Cancer Science, Aging and Metabolism, and Mechanisms of Disease, with the aim to decipher why diseases develop and find new ways to diagnose, prevent and treat them.As a research institution involved in ethics-sensitive research activities, IRB Barcelona recently created the Committee for Research Integrity (CRI). CRI is an interdepartmental committee charged with supervising the enforcement of and compliance with IRB Barcelona’s Code of Conduct. In this context, CRI is a consultancy body involved in issues related to guidance, clarifications, disputes or conflicts arising from the research activities undertaken at the institute and also in issues regarding misconduct. One possible role of IRB Barcelona in an ethics consortium would be developing, testing and evaluating training in research integrity issues, in particular in the field of biomedical and life sciences.The call also requires a consortium of experts in personal data, blockchain, policy assessment, and ethics.;
288;Seeking research institutes and industry partners for M-EraNet 2020 call;https://crowdhelix.com/opportunities/seeking-research-institutes-and-industry-partners-for-m-eranet-2020-call-1003;Can Kartoglu;Sabanci University;https://crowdhelix.com/organisation/sabanci-university-451;Health, Materials;Consortium Partner;Business development, Clinical trials, Nanoparticles, Commercialization, In-vivo and in-vitro assays, Diabetic wound treatment, Biocompatibility tests, Nanofibers;"Diabetes is a worldwide problem affecting millions. 15-25% of diabetic patients suffer from diabetic foot ulcer (DFU), a major chronic problem leading to significant progression to morbidity and mortality with poor progression to extremity amputation.The healing process of wounds in diabetic patients is more complicated than others. In diabetic patients, the wounds are chronic and the time that is expected to take place to restore the tissues in the skin is much longer. The main problem is that, these wounds are stuck in inflammation phase and cannot proceed to healing phase.The main aim in the proposed project is to develop novel bio functional wound dressing which is based on polymeric composites composed of biopolymer (Polyurethane and alginate) to cover the wound and promote tissue repair. Designed wound dressing will be innovative and original since it provides suitable microenvironment with bio functional substances and would be better than basic wound dressings for healing DFUs.We are looking for research institutes and companies to involve in the consortium. The tasks and responsibilities from sought partners are listed as below.Research institutes working for developing In-vivo and in-vitro assays, conducting biocompatibility tests, in-vitro release profiles and determining antibacterial behaviors of nanoparticle and/or drug loaded nanofibers, executing the clinical tests. Having expertise on diabetic wound treatment is preferred.Industrial partners active in chronical wound dressing equipment to draft a commercialization strategy of the developed technology.Targeted topic number 5: New strategies for advanced material-based technologies in health applications; The call content and requirements can be found at this link : https://m-era.net/joint-calls/...";
289;Expert group on Toxicology - Seeking to join an international consortium to participate in proposals within the COVID-19 topics;https://crowdhelix.com/opportunities/expert-group-on-toxicology-seeking-to-join-an-international-consortium-to-participate-in-proposals-within-the-covid-19-topics-999;Dani Ferrer;Universitat Rovira i Virgili;;Health, COVID-19;Work Package Leader, Consortium Partner;Public health, Virology, Vaccine, Epidemiology, Infectious disease control, Covid-19;"TecnATox: Food and Toxicological Environmental Technology Center is a research center, from the Rovira i Virgili University, specialised in Innovation and Technology Transfer in the fields of Food Safety, Environment and Toxicology. It was created from the long experience of the URV-Laboratory of Toxicology and Environmental Health (LTSM). It is directed by the Professor of Toxicology, José L. Domingo, the most cited Spanish researcher in toxicology and in the top-ten of the European Union.It is at the service of both the public and private sectors, where it aims to provide solutions to specific needs within its fields of action. It is capable of providing and generating monitoring programs and modeling applications, highly adaptable to the setting and the substances, and risk assessment for the health of the population and the ecosystems.Specifically in the toxicology section, TECNATOX is a highly trained group for the development of research on:• Experimental toxicology in laboratory animals (rats and mice).• Evaluation of risks of new substances.• Neurotoxicology, psychopharmacology and neurobehavior.• Ecotoxicology.• In vitro studies.• Reproduction and teratogenic studies• Radiobiology.• Studies ""in silico"".Furthermore, the group has experience in studies of vulnerable population:** Aged population;** Population with previous pathologies (diabetes, immunosuppressed, kidney and liver failure ...); ** Pregnant women at different times of pregnancy, and effects on the offspring.We use in silico models (physiology-based pharmacokinetic models, PBPK), which also allow to predict the effects of new drugs or variations of existing ones.";
290;Opportunity to collaborate with Shadow Robot for DIH-HERO Tech Transfer Experiment Open call;https://crowdhelix.com/opportunities/opportunity-to-collaborate-with-shadow-robot-for-dih-hero-tech-transfer-experiment-open-call-993;Radhika Gudipati;Shadow Robot Company;https://crowdhelix.com/organisation/shadow-robot-company-64;Health, Digital;Consortium Partner, Individual Expert;Prevention, Pharmaceutical and medical science, Future health, Sterile manufacturing, Lab analytics, Healthcare robotics, Rehab;"Shadow Robot designs and manufactures state-of-the-art dexterous robotic hands and related systems. Shadow formed a collaboration with HaptX (Haptic glove making startup) and SynTouch (tactile sensor making startup) and developed ‘Tactile Telerobot’ – that can transmit senses like touch, vision and audio across the globe for remote telepresence and teleoperation. The Tactile Telerobot (https://www.shadowrobot.com/te...) enables a user to see, touch, hear and feel to complete a task at a remote location without physically being there. One of the potential applications of the Tactile Telerobot is in healthcare robotics with key interest in pharmaceutical sterile manufacturing and logistics in healthcare settings.Shadow Robot is looking for a collaborator for DIH-HERO (https://dih-hero.eu/) Technology Transfer Experiment Open Call for Healthcare Robotics.The ideal collaborators would be; Pharmaceutical companies with challenges in sterile manufacturing e.g. separating humans from hazardous materials, separating humans for sterile labs to avoid contamination; Labs conducting diagnostic tests where a human needs to be separated from dangerous viruses or other samples and also to avoid contamination; Call Deadline: 15th June 2020; For further information about the call please visit; https://dih-hero.eu/call/techn...If you are interested to collaborate please contact: radhika@shadowrobot.com";https://crowdhelix.com/uploads/post_attachments/5e99ac4ab1262_BimanualTeleop.jpg
291;Global call for expert collaborators: New COVID-19 response Helix;https://crowdhelix.com/opportunities/global-call-for-expert-collaborators-new-covid-19-response-helix-946;Abdul Rahim;Crowdhelix;https://crowdhelix.com/organisation/crowdhelix-134;Health, Announcements, COVID-19;Coordinator;Data science, Public health, Virology, Vaccines, Epidemiology, Social sciences and humanities, Behavioral science, Coronavirus, Covid-19;"I hope you are all keeping well and that your loved ones are safe too. These times are very tough and are largely unprecedented. I wanted to inform you of an initiative that we are currently working on related to COVID-19 and, would like to request your support if possible.We have been speaking with Frauke Christ from KU Leuven (leader of the Health Helix) and to Björn Kull from Karolinska Institutet (KI). We have asked KI to lead a new Helix targeted exclusively at COVID-19 R&D response. KI has already been awarded three important EU Horizon 2020 grants targeted at COVID-19 response & mitigation.I am pleased to say that KI have now agreed to lead the new COVID-19 Helix. In support of our collective efforts we have also set up a dedicated external-facing web page for the initiative, which can be viewed here: https://network.crowdhelix.com...In supporting and promoting the Helix we have also teamed up with Science|Business, who are maintaining an up-to-date list of relevant funding programmes, calls, and competitions supporting research & innovation in relevant fields: https://docs.google.com/spread...ERF-AISBL are also maintaining a list of specific research infrastructure services, such as rapid or fast track access, to allow researchers to obtain results as soon as possible: https://erf-aisbl.eu/research-...Emerald Publishing are also offering a publishing fund of £20,000 to cover the APCs for research published on Emerald Open Research related to the societal impact of the outbreak and similar healthcare emergencies: https://www.emeraldpublishing....For the COVID-19 Helix, we at Crowdhelix are now conducting a global search for collaborators with expertise in relevant fields. Subject to a check of their credentials, are inviting such experts to sign up for an individual account *for free*. We wish to promote this globally, and ask for your kind assistance with this effort in line with the actions requested below.The COVID-19 Helix is now also live here on the Crowdhelix platform, and has a dedicated internal page, which can be viewed by clicking the Helix icon, or at https://crowdhelix.com/helix/C....REQUESTED ACTIONS: In addition to the above, you could kindly help in the following ways:1. If your organisation is a network member and you have colleagues with relevant expertise, please invite them to join the platform (https://crowdhelix.com/signup);2. If you seek collaborators or a consortium for COVID-19 related R&D, please post a new Opportunity on the main page, or click the Support button to liaise with our team if no Post button is visible. Please be assured that our team of Community Managers will review it before it is published, and we will also assist in the search. If you do not have a specific funding call or opportunity to target at this stage, please leave a comment below outlining your expertise and focus area(s). In some cases these comments will be subject to moderation;3. If visible, please use the ""share"" function (click on an Opportunity post such as this one and scroll down) to refer this introductory post, or other COVID-19 opportunities, to your collaborators - even if they are outside the network. They will receive an invitation to sign up for an account, and they can then respond directly. Alternatively, please encourage them to submit a request to join the Helix via https://crowdhelix.com/helix/C... ;4. If appropriate, please ask your communications department to help us disseminate collaboration opportunities and/or this Helix initiative further;5. Please add the COVID-19 Helix to your topics of interest (via Notification settings in the menu at the top right) if you wish to receive immediate updates of future opportunities;6. If you have any questions please click the Support button below, or email covid19@crowdhelix.com.I hope with all of our collective activities and collaboration we can in some way help reduce the damage that COVID-19 is doing globally, and perhaps mitigate future such outbreaks. We may not be able to measure the impact of these efforts directly, but I personally would feel better if I knew we were trying to do something, in support of those with the skills and expertise to directly tackle the crisis.Once again, thank you very much for your ongoing support, and please all keep safe.Best wishes,Abdul Rahim,Director, Crowdhelix";
