ID;Reg. kód;Název;Navrhovatel;UČO;Role MU;Středisko;Pracoviště;Anotace
54440;0488/2016;Changing cell fate through microRNA molecules;Bárta Tomáš, Mgr. Ph.D.;106061;Příjemce;LF;Ústav histologie a embryologie;
54439;0487/2016;MicroRNAs in neural stem cell biology;Bohačiaková Dáša, Mgr. Ph.D.;123980;Příjemce;LF;Ústav histologie a embryologie; A multidisciplinary project involving the Faculty of Medicine, the Faculty of Law, the Faculty of Social Studies and the Faculty of Economics and Administration will focus on examining healing from a social science perspective. Its subject will not be the evaluation of the efficacy and safety of specific healing practices and products for the treatment of specific patients. Such research would be conducted in hospitals. Nevertheless, the investigators will include a physician, Dr. Halámková (Masaryk Cancer Institute), and a nutritionist, Dr. Peřina, as it is desirable to investigate the actions and thinking of patients suffering from serious illness and specific diseases and the marketing of healing products and their safety. Medicine and attitudes towards it will be examined as an ethical dilemma, which will be taken up by medical ethicist Assoc. Chicken. Regulation will be explored by institutional lawyer and health law educator Dr. Koscik. Civil law educator doc. Selucká and PhD student Mgr. Pavelek, as well as the teacher of European Union law and health law doc. Křepelka, who will be the project leader, will research private and public law aspects of medical regulation, including the impact of international and European integration. The social dimension of healing will be crucially examined by sociologists Assoc. Šmídová and Dr. Šlesingerová. The project will be complemented by a reflection on the economic aspects of healing by economists dr. Kotherová and doc. Malý.  
54399;0447/2016;Seroprevalence of rabbit syphilis in the Czech Republic and whole genome sequencing of the causative agent of rabbit syphilis, Treponema paraluisleporidarum ecovar Lepus;Paštěková Lenka, Mgr. Ph.D.;72338;Příjemce-koordinátor;LF;Biologický ústav;
54377;0422/2016;Studying the genomes of pathogenic treponemes based on single cell analysis;Šmajs David, prof. MUDr. Ph.D.;1116;Příjemce-koordinátor;LF;Biologický ústav; The result of the three-year project will be professional publications based on the methods of the field and corresponding to the standards of the field, the preparation and production of which, however, will be based on a continuous exchange of knowledge between the researchers, as well as collective monographs, lectures for the professional public, workshops and a final conference.
54391;0421/2016;Cerium oxide - ferritin complex cardioprotection agains doxorubicin induced cytotoxicity;Pekařík Vladimír, Mgr. Dr.;115466;Příjemce;LF;Fyziologický ústav;Research at the Institute of Pharmacology has long focused on preclinical and applied research on drugs and innovative pharmacological procedures. To this end, we use: i) validation and refinement of knowledge on mechanisms of action of psychopharmaceuticals and identification of their adverse effects (pharmacodynamic approach), ii) study of pharmacokinetic interactions of natural substances with potential therapeutic applications, and iii) study of correlation of safety and efficacy of targeted treatments with pharmacokinetic and genetic factors (pharmacogenetic approach).
54376;0420/2016;Irreversible electroporation, a safer solution to apoptosis-based arrhythmias in syncytial cardiomyocytes from pluripotent stem cells and in animals;Rotrekl Vladimír, Mgr. Ph.D.;699;Partner;LF;Biologický ústav; Pharmacodynamic studies are mainly focused on the identification of new psychopharmaceuticals with antidepressant, anxiolytic and antipsychotic potential. The group of drugs under study includes glutamatergic receptor ligands, including ketamine, which represents a potential fast-acting antidepressant with the potential to suppress craving. Adverse effects studied include mainly the effect of antipsychotics, but also schizophrenia-like phenotypes, on the development of metabolic syndrome and adipokine levels. We are also working with neurologists and MRI specialists to develop an early biomarker in genetic and pharmacological animal models of Parkinson's disease.
54389;0418/2016;Study of heart failure through cardiomyocytes with hereditary or induced insufficiency;Pešl Martin, MUDr. Ph.D.;60014;Příjemce-koordinátor;LF;Biologický ústav; Pharmacokinetic studies are focusing on the metabolic activity of cytochrome P450(CYP) enzymes. The activity of this enzyme system is determined by both genetic and environmental influences and this results in a change in the response to the administered dose of CYP-substrates. In terms of possible drug interactions, the influence of selected natural substances with proven psychotropic effects on CYP will be studied both through premedication of experimental animals and in vitro, and central and peripheral mechanisms of regulation of this biotransformation system will be studied.
54373;0415/2016;Electro-optical methods for evaluation of cancer cells;Masařík Michal, prof. RNDr. Ph.D.;21142;Partner;LF;Ústav patologické fyziologie; Pharmacogenetic studies will focus on the study of inter-individual variability in the safety and effect of targeted therapies - tyrosine kinase inhibitors (TKIs), which are used in the treatment of solid tumours and haematological malignancies. The efficacy of TKIs shows clinically significant variability and may be time-limited with subsequent development of secondary resistance. Using therapeutic drug monitoring methods and analysis of genetic information and epigenetic processes in patients, the correlation of these factors with response to treatment will be evaluated. The results of the studies should contribute to personalise the dosage of TKIs, thus increasing their clinical efficacy or reducing toxic effects.
54387;0413/2016;Genetically distinct groups of syphilis-causing strains: do they differ during experimental infection?;Strouhal Michal, Mgr. Ph.D.;13388;Příjemce-koordinátor;LF;Biologický ústav;The aim of the project is to increase the competence of teachers and to make available tools for standardised, i.e. objective, credible, reproducible and documentable assessment of students' knowledge. This will create the conditions for objective assessment of learning outcomes, for the development of evidence-based learning and for improving the quality of education.
54372;0412/2016;Optical stimulation in experimental cardiology;Nováková Marie, prof. MUDr. Ph.D.;1188;Partner;LF;Fyziologický ústav; Another objective is to develop cooperation between educators of a number of universities in the Czech Republic in transferring knowledge, experience and know-how in the field of methods and tools for standardised assessment of learning outcomes.
54369;0409/2016;HMGB proteins: novel regulatory factors in human telomere and embryonic stem cell biology;Hampl Aleš, doc. MVDr. CSc.;47170;Partner;LF;Ústav histologie a embryologie; One important outcome will be the creation and further development of a large network of interacting users of modern testing methods. This will continue to develop after the end of the project thanks to the professional contacts that this project is laying the foundations for, not only within the portfolio of the project partners but also at other HEIs.
54368;0408/2016;Sulfide signaling as a potential mechanism for treatment of colorectal carcinoma and clear cell renal cell carcinoma;Križanová Oľga, prof. Ing. DrSc.;237883;Příjemce;LF;Fyziologický ústav; All outputs of the project, i.e. methodological and educational materials as well as the tools developed, will be open and freely accessible to all universities to ensure maximum use of the public funds entrusted to them. The
54366;0407/2016;Generalized cell morphological parameters based on holographic microscopy and their application to prostate cancer cells invasiveness assessment;Masařík Michal, prof. RNDr. Ph.D.;21142;Příjemce-koordinátor;LF;Fyziologický ústav;aim is to make modern practices available to the entire higher education system in the Czech Republic. The
54365;0406/2016;Biofabrication and osteoblastic differentiation of multipotent stromal cells by polyphosphates in situ;Sumbalová Koledová Zuzana, Mgr. Ph.D.;233399;Partner;LF;Ústav histologie a embryologie;project will bring together teams from most public HEIs in the country. The aim of creating such a network of experts from across the country is that modern methods will become standard in this part of the education system. This will conveniently support the development and improvement of the quality of higher education
54364;0405/2016;Intercommunication of pathways controlling energy metabolism and tumor cell proliferation;Uldrijan Stjepan, Mgr. CSc.;104691;Příjemce-koordinátor;LF;Biologický ústav;The aim is to create lecture notes for current lectures of Biochemistry II for students of general medicine. The texts will complement the existing lecture presentations (PowerPoint - View - Notes). The notes will enrich the study materials, increase the user experience for students and facilitate exam preparation. Lecture presentations including comments will be available in IS MU. The project is a continuation of a similar and successful project of creating comments for Biochemistry I lectures.
54367;0404/2016;Mutual interactions of D2, IP3 and sigma 1 receptors in the brain and the heart;Nováková Marie, prof. MUDr. Ph.D.;1188;Příjemce;LF;Fyziologický ústav;"Recent findings on the structure of tissues and organs, and in particular on the role of stem and progenitor cells in their development and regeneration, have significantly stimulated the concept of treating certain human diseases by ""tissue engineering"" methods. Attractive as this concept is, its implementation is conditioned by many facts that go beyond biology. Of particular importance are the following two: a) the availability of non-cellular carrier materials that will support normal cell behaviour, in particular cell division, differentiation and 3D organisation into typical morphological structures; b) the demonstration that tissue engineering is an approach that has the potential to be scalable in terms of economic cost and effect on human (societal) health. This project builds on the unique expertise existing at five MU departments, which gives the opportunity to adequately study and develop the above aspects of tissue engineering. The first aspect, carrier development, will use a combination of polymer wetting and 3D deposition and their plasmochemical modification with functional groups, followed by iterative comprehensive testing of their properties in in vitro systems with cells. An important feature will be that the cells used will be normal human stem and progenitor cells with relevant clinical potential. The second aspect, socio-economic calculation, will use information on the cost of research, development and implementation of possible tissue engineering-based medical and biotechnological approaches. The estimated effects of the results achieved will serve as input for the elaboration of model-based economic cost-effectiveness analyses. The experience gained will result in the formulation of methodological recommendations for refinement of the cost-effectiveness assessment methodology in the field of tissue engineering. Thus, in its entirety, the solution of the presented project will provide theoretical knowledge on the interaction of innovative materials with medically attractive cell types, develop standardized protocols for the preparation of these materials, create a basis for further development of these materials towards their biomedical application and set socio-economic parameters guaranteeing efficiency in this area of development."
54360;0392/2016;Histological and immunohistochemical analysis of the retraction pocket of the pars tensa of the eardrum;Urík Milan, doc. MUDr. Ph.D.;141920;Příjemce-koordinátor;LF;Klinika dětské ORL;The aim of the project is to create a manual for practical teaching of Preclinical Dentistry I and Preclinical Dentistry II in both Czech and English.  
54359;0391/2016;Intrinsic properties of RAD51 fibre and its biological regulation;Krejčí Lumír, doc. Mgr. Ph.D.;18098;Příjemce-koordinátor;LF;Biologický ústav; The material will provide students with precise orientation in practical teaching and at the same time will be a methodological aid for teachers. The manual will be introduced in the 2017/2018 academic year in parallel in both Czech and English.
54336;0386/2016;Novel ABC transporter inhibitors derived from dibenzocyclooctadiene lignans overcoming resistance to anticancer drugs;Slanina Jiří, Mgr. Ph.D.;689;Příjemce-koordinátor;LF;Biochemický ústav; The project is in line with the Masaryk University's Long-Term Plan.
54356;0384/2016;Functional consequences of ion-concentration changes in cardiac t-tubules and interstitial clefts during metabolic inhibition;Bébarová Markéta, doc. MUDr. Ph.D.;15000;Partner;LF;Fyziologický ústav;The project includes four separate doctoral projects, which are complementary and are part of a comprehensive research focus on neuropathic pain. The aim of 1. subproject is to use a newly validated diagnostic method - corneal confocal microscopy (CCM) for the detection of small fiber neuropathy (SFN) in painful diabetic neuropathy (pDPN) and chemotherapy-induced polyneuropathy in comparison with other already standardized methods, in particular skin biopsy (intraepidermal nerve fibre density determination - IENFD), quantitative susceptibility testing (QST) and Contact Heat Evoked Potentials (CHEPS) - hereafter CCM. Another sub-project will look for new biomarkers of chemotherapy induced polyneuropathy (CIPN) including the painful form in hematological malignancies - hereafter CINP. In addition to motor impairment, patients with hereditary muscle disorders suffer from a range of systemic disorders including pain (about 70% regardless of the type and degree of muscle impairment). Projects focusing on the nature and pathophysiology of pain in hereditary neuromuscular diseases (MYO) and compressive lumbosacral radiculopathy of vertebrogenic origin (RAD) will attempt to elucidate the contribution of the neuropathic component of pain. All projects will use methodologies and tests useful in the diagnosis and investigation of the pathophysiology of neuropathic pain that have been validated in previous Specific Research projects, in particular skin biopsies, QST, dQST, CCM, CHEPS, neuropsychological tests focusing on anxiety, depression and pain catastrophizing, and, for MYO, structural magnetic resonance imaging (MRI) of skeletal muscles.
54334;0383/2016;Dual effect of newly prepared beta-blockers - beta-blockers as sympatholytics and anti-cancer agents;Babula Petr, prof. PharmDr. Ph.D.;14996;Partner;LF;Fyziologický ústav;The project develops the use of modern recording and imaging technologies in forensic medicine that have not yet been introduced into routine practice. These are technologies which, thanks to the current possibilities of computer technology, allow to create and process 3D models of examined objects under economically inexpensive conditions. The main method developed is the use of optical scanning in autopsy and forensic examination at the crime scene. A complementary and follow-up method is 3D reconstruction of morphologically damaged or devastated bone and soft tissues. Emphasis is placed on the direct applicability of the outputs of the developed methodologies in expert activities in the field of forensic medicine, while respecting the requirements of expert and criminal law. The developed methodologies and procedures will be simultaneously used for the development of expert standards.
54355;0382/2016;Role of autophagy and cell death in cardiotoxicity of tyrosine kinase inhibitors;Babula Petr, prof. PharmDr. Ph.D.;14996;Příjemce-koordinátor;LF;Fyziologický ústav; The interdisciplinary nature of the project lies in the cooperation of teams from the Institute of Forensic Medicine of the Faculty of Medicine of the Medical University of Masaryk University guaranteeing the direction of the project towards direct use of its outputs for forensic purposes, a
54332;0374/2016;The role of DNA repair failure and replicative stress in the adaptation of human pluripotent stem cells.;Rotrekl Vladimír, Mgr. Ph.D.;699;Příjemce-koordinátor;LF;Biologický ústav;team from the Laboratory of Morphology and Forensic Anthropology of the Faculty of Science providing methodologically correct procedures for optical scanning and creation of 3D models including 3D printing and a team from the Department of Computer Graphics and Design of the Faculty of Informatics of MU providing technical and especially software support for other teams including computationally more complex procedures for 3D printing.
54348;0373/2016;Multiple interactions between selected alloys and living tissue;Pávková Goldbergová Monika, prof. RNDr. Ph.D.;9447;Příjemce-koordinátor;LF;Ústav patologické fyziologie; The main goal of the project is to develop a methodology for the creation and use of 3D models useful in forensic examinations.
54305;0367/2016;New mechanisms leading to hypertension - exosomes and microRNAs;Nováková Zuzana, MUDr. Ph.D.;2702;Příjemce;LF;Fyziologický ústav;The proposal of the FRMU 2017 project is directed towards innovation and strengthening the emphasis on practical applications based on the practical experience of clinical biochemistry teachers and the current real picture of the clinical biochemistry application sphere. Instructional case studies with clinical-biochemical diagnostics, guided excursions to the Department of Clinical Biochemistry of the Brno University Hospital and a multi choice test to verify the acquired knowledge will be included in the teaching. The innovation will be implemented in both Czech and English versions of the course.
54302;0362/2016;The role of the RHO/ROCK signaling pathway in neural specification;Wadeley Yuh-Man, doc. Doctor of Philosophy;115923;Příjemce-koordinátor;LF;Biologický ústav;The essence of the project is to search for and verify the association between the level of motor fitness and the degree of morphological changes of parenchymatous organs, nodes and intestines in persons sensitive to selected cereals (celiacs and gluten-allergic people), and at the same time to develop and experimentally verify a sophisticated non-invasive methodology for the detection of morphological changes of organs exposed to cereal sensitivity, based on the analysis of existing records of imaging modalities (CT and MRI).  
54300;0360/2016;Unusual signaling pathways of human receptor tyrosine kinases;Krejčí Pavel, RNDr. Ph.D.;101398;Příjemce-koordinátor;LF;Biologický ústav; Thus, the aim of the project is to experimentally validate the impact of putative morphological changes of parenchymatous organs related to sensitivity to selected cereals on changes in responsiveness to physical stress, i.e. fitness during dietary gluten reduction.
54238;0281/2016;Combination of electrophoretic and MALDI-TOF MS techniques for pre-separation, concentration and rapid identification of microorganisms;Růžička Filip, prof. MUDr. Ph.D.;1100;Partner;LF;Mikrobiologický ústav; Demonstrating the link between motor fitness and cereal sensitivity will be of significant benefit to a broad spectrum of the population, and will be of major importance in the field of performance sport, where there is a similar percentage of individuals with undiagnosed coeliac disease for whom any shift in functional organ capacity would also represent a performance shift, and specifically in elite athletes, who are often at the limit of their maximum load, this shift may represent not only a significant performance benefit, but especially a health benefit, in the form of a release of part of the capacity of the circulatory and digestive system tied to increased sensitivity to the selected cereals, which represents a lower level of fatigue at the same load and consequently faster recovery.       
54159;0213/2016;Neural stem cells for clinical applications and study of their cell division control.;Bohačiaková Dáša, Mgr. Ph.D.;123980;Příjemce;LF;Ústav histologie a embryologie; An important element of the development of the methodology for the detection of organ changes will be the extraction of valuable information from large digital archives of medical image data (the MeDiMed system operated by the Institute of Medical Research). The methodology will be oriented towards the development of an appropriate way of organizing the processing of medical image information based on effective cooperation between medical institutions and the search for opportunities to use the potential of current information and communication technologies and specialized technologies of medical departments
54157;0210/2016;Studies on the metabolism and toxicity of minor benzo[c]phenatridine alkaloids;Juřica Jan, doc. PharmDr. Ph.D.;14537;Příjemce;LF;Farmakologický ústav;In the available BTX-ECM600 cuvette electroporation system, single electroporation pulses of different length and intensity will be applied and their effect on cardiac tissue cells (differentiated from stem cells) will be monitored in comparison with negative controls. The results of the electroporation experiment will allow the improvement of animal protocols and bring closer the use of ECG-triggered electroporation of cardiac tissue in clinical practice.
54104;0178/2016;Novel mechanisms of fibroblast growth factor receptor (FGFR) signal initiation and propagation in the major processes regulated by physiological and pathological FGFR signaling.;Krejčí Pavel, RNDr. Ph.D.;101398;Partner;LF;Biologický ústav;In the English General and Dental Medicine disciplines, there is a significant increase in the demands placed on lecturers for professional teaching in English. Lecturers, although they are experts in the subject in the Czech language, have to face additional challenges arising mainly from the need to communicate in a foreign language. The e-course supplemented by lectures at the beginning of the autumn and spring semesters is intended to increase the competence of academic staff for teaching in English.
54100;0169/2016;Role of endoplasmic reticulum in tissue regeneration and aging;Vaňhara Petr, doc. RNDr. Ph.D.;43385;Příjemce;LF;Ústav histologie a embryologie;The intended outcome of the project is the use of non-contact thermography as an auxiliary tool in the detection of blood supply to individual organs of the abdominal cavity during surgery. There is currently a renaissance in the use of thermal imaging cameras in clinical practice. The essential reason is the increasing technical quality of the devices, but also the resolution and sensitivity of the resulting images - thermograms. Thermal imaging has already proven itself in the past as a suitable diagnostic tool for monitoring the quality and state of blood circulation in the lower limbs of patients. It is the degree of blood supply that plays a significant role in the surgeon's decision making in determining the correct colonic resection line and subsequent determination of the anastomosis site.
54111;0157/2016;Centrioles and cilia: molecular mechanisms and functional consequences;Čajánek Lukáš, Mgr. PhD.;40690;Příjemce;LF;Ústav histologie a embryologie; The main aim of the project is to use thermal imaging technology in practice as a useful tool in the hands of the surgeon during the actual surgical procedure. The thermal camera should determine the degree of blood supply to the colon and help to visualize individual angiosomes during the resection procedure. Patients will be thermographically examined in FB Brno during the surgical procedure. Subsequent evaluation of the images will then take place at the Biophysical Institute of the Faculty of Medicine. The specificity of the project is due to the direct cooperation between the clinical and theoretical workplace, where the surgeon determines the appropriate surgical procedure based on subjective evaluation, and the thermal imaging camera will provide an additional useful angle of view during the surgical procedure. The proposed project is based on the experience of previous studies carried out, where surface temperature proved to be a suitable indicator of tissue blood supply.
54048;0142/2016;The significance of centriolar abnormalities;Čajánek Lukáš, Mgr. PhD.;40690;Příjemce;LF;Ústav histologie a embryologie;The project proposal builds on the results of previous specific research projects for 2015 and 2016. The main aim of the current project is to study the changes of zonulae occludentes (ZO) tight junctions and their effect on blood-lymphatic barrier (HLB) permeability in the laboratory rat after pharmacologically induced peripheral neuropathy by administration of the taxane class chemotherapeutic Paclitaxel.
53748;0107/2016;University-Industry Educational Centre in Advanced Biomedical and Medical Informatics;Bourek Aleš, MUDr. Ph.D.;1062;Partner;LF;Biofyzikální ústav; One of the side effects of taxanes is the development of peripheral neuropathy, which results from a disturbance in calcium homeostasis and mitochondrial damage in peripheral nerve axons. In experimental laboratory rat models, it has been found that Paclitaxel administration triggers an inflammatory response in the spinal ganglia, spinal cord and other structures of the central nervous system. Similar changes also occur in chronic nerve injury characterized by induction of satellite glial cell activation, invasion of activated macrophages, microglia proliferation and expression of pro-inflammatory cytokines and their receptors. The spread of the inflammatory response to the various stages of the central nervous system may be via the blood and/or the liquor. Our earlier experiments demonstrated the penetration of labeled dextran from blood and liquor into the spinal ganglion, demonstrating the permeability of the blood-nerve and liquor-nerve barriers to cytokine-sized molecules. We also found that peripheral nerve injury induces cellular changes and increased HLB permeability in the plexus choroideus (CP) of the cerebral ventricles.  
52828;1677/2015;Development of modern instrumental methods for rapid detection and identification of selected B-agens and toxins;Růžička Filip, prof. MUDr. Ph.D.;1100;Příjemce;LF;Mikrobiologický ústav; In a 2016 specific study, we demonstrated that there is increased expression of Toll-like receptor 9 (TLR9) in CP cuboidal cells after Paclitaxel administration. It is known that changes in TLR9 can affect the tightness of ZO-type junctions. We hypothesize that taxanes may act on ZO proteins in the HLB by signaling through TLR9, thereby affecting the permeability of the blood-lymphatic barrier to cytokine-sized molecules.
50948;0824/2015;Tau tubulin kinase 2 in ciliogenesis: mechanisms and functions;Čajánek Lukáš, Mgr. PhD.;40690;Příjemce;LF;Ústav histologie a embryologie; A cumulative dose of 8 mg/kg paclitaxel will be achieved by intraperitoneal administration in four doses. At 3, 7 and 21 days after the last dose, the animals will be injected intravenously with labelled FluoroEmerald (FE) dextran, at which time cerebrospinal fluid will be collected from the animals after 30 minutes and 5 hours and the amount of FE will be analysed. After that time, the animals will be killed by CO2 inhalation. The ZO proteins occludin and ZO-1 will be detected immunohistochemically on coronal cryostat sections of the brain.
66985;0563/2018;Fibroblast Growth Factor Signaling Controls Primary Cilia Length via Intestinal Cell Kinase;Bosáková Michaela, Mgr. Ph.D.;106056;Příjemce;LF;Biologický ústav;The use of electromagnetic sensors in distal fixation of intramedullary nails in long bone fractures
66485;0523/2018;VISION-DMD - A Phase IIb Randomized, Double-blind, Parallel Group, Placebo- and Active-controlled Study with Double-Blind Extension to Assess the Efficacy and Safety of Vamorolone in Ambulant Boys with Duchenne Muscular Dystrophy (DMD);Demlová Regina, doc. MUDr. Ph.D.;24063;Jiný účastník;LF;Farmakologický ústav;The project is focused on optimization of diagnostics of causative agents of nosocomial infections (multidrug-resistant enterobacteria and pseudomonads, yeasts, methicillin-resistant S. aureus, etc.) and less common nosocomial agents (Propionibacterium acnes and Candida parapsilosis yeasts, etc.). These microorganisms pose a significant risk to patients with compromised immunity. The rapid and reliable identification of these microorganisms and the monitoring of their clonality, as well as the demonstration of the presence of virulence factors, are crucial for the implementation of effective preventive measures and the choice of appropriate therapeutic approaches. The project addresses comprehensively the issue of diagnosis of nosocomial infections caused by these microorganisms, with emphasis on optimisation of diagnostic schemes as well as the design and validation of new identification and typing methods, including molecular biology techniques and methods based on capillary electrophoresis, Raman spectrometry and mass spectrometry. The clinical relevance of the agents under investigation will also be assessed by monitoring their prevalence and demonstrating the presence of virulence factors and biofilm formation. The project also includes the search for new preventive and therapeutic approaches for these infections, in particular the use of antimicrobial agents effective against microbial biofilms, or antibacterial surfaces of medical devices. New antimicrobial agents, in particular bacteriophages, will also be tested.
66189;0418/2018;DNA binding enrichment using methyl-directed restriction endonuclease reveals genetics of current world-spread strains of syphilis;Grillová Linda, Mgr. Ph.D.;270498;Příjemce-koordinátor;LF;Biologický ústav;The aim of the project is to prepare teaching cards that will support the transfer of information in the clinical teaching of general nurses at surgical units (subjects: Professional Nursing Practice III BSOD0343, BDOD0363i, Professional Nursing Practice IV BSOD0444, BDOD0464i). The teaching cards will be available in printed form within the nursing practice units and in electronic form, where they will complement the electronic support for the creation of seminar papers (case studies) created with the support of MUNI/FR/0954/2015.
65591;0226/2018;European Research Bank of Human Intracerebral EEG;Brázdil Milan, prof. MUDr. Ph.D.;2042;Příjemce-koordinátor;LF;I. neurologická klinika;Differential diagnosis (dif. dg.) of diseases, or estimation of how the patient's disease will further develop (determination of prognosis), is still one of the most challenging activities of internal medicine physicians. Some symptoms are common to different diseases and differentiation of their causes is sometimes only possible with the use of expensive investigative methods. Other diseases are very heterogeneous and 'unpredictable' and it is impossible to determine how they will develop even with the available markers and methods.
65506;0209/2018;Strategic Partnership in Innovation and Development of Evidence-Based Healthcare;Pokorná Andrea, prof. PhDr. Ph.D.;98239;Příjemce-koordinátor;LF;Inst.biostatistiky a analýz; The proposed project focuses on differential diagnosis of diseases and estimation of their prognosis using clinical markers and markers derived from clinical biochemistry and molecular biology. It brings together the topics of four Ph.D. students, motivating them to work with undergraduate students and also preparing topics for possible future Ph.D. students in other fields of internal medicine at the II Internal Medicine Department of FNUSA. The
65476;0206/2018;Curriculum Development of Human Clinical Trials for the Next Generation Biomedical Students;Demlová Regina, doc. MUDr. Ph.D.;24063;Partner;LF;Farmakologický ústav;objectives of the project are
65426;0187/2018;Problem-based and team-based learning strategies in the education of biomedical and natural sciences;Schwarz Daniel, doc. Ing. Ph.D.;195581;Příjemce-koordinátor;LF;Inst.biostatistiky a analýz;(i) identification of circulating microRNAs that would facilitate the dif. dg. of dyspnea and proteinuria
65425;0186/2018;Case-based learning and virtual cases to foster critical thinking skills of students;Schwarz Daniel, doc. Ing. Ph.D.;195581;Partner;LF;Inst.biostatistiky a analýz;(ii) identification of novel markers enabling diagnosis and dif. dg. lesions of the pancreas
64725;0140/2018;TENSION - Efficacy and safety of thrombectomy in stroke with extended lesion and extended time window: a randomized, controlled trial;Demlová Regina, doc. MUDr. Ph.D.;24063;Jiný účastník;LF;Farmakologický ústav;iii) creation of a database of DM2T patients to enable their long-term follow-up and prediction of further disease progression using various new markers
64665;0134/2018;Hand Hygiene Day;Hladík Martin, MUDr.;424540;Příjemce;LF;Ústav veřejného zdraví;iv) identification of the prevalence and further prognosis of the disease in patients with alcoholic cardiomyopathy
64605;0122/2018;Development of teaching at the Biophysical Institute of the Faculty of Medicine in the sense of IT literacy for students of the Nutritional Therapist programme at the Faculty of Medicine;Pokorná Jana, Ing.;419334;Příjemce;LF;Biofyzikální ústav;The project will involve Ph.D. students, their supervisors and their assigned undergraduate students. The involved student physicians will provide patient recruitment and, together with the undergraduate students, their thorough standard and special examinations, collection of biological material and subsequent analyses.
64468;0108/2018;Preparation of a textbook and training manual for the innovation of complex data analyses in the subject Biostatistics for P-pool;Kula Roman, MUDr.;435440;Příjemce;LF;Inst.biostatistiky a analýz; The output of the project in the first year will be the presentation of pilot results at local conferences and the preparation of summary publications for an impact factor journal. Ph.D. students working on the project will also collect data for their dissertations.
64225;0078/2018;Histology and Embryology Discussion Questions - a new teaching aid;Voldřich Jakub, MUDr.;435699;Příjemce;LF;Ústav histologie a embryologie;The proposal covers several projects addressing the issue of oral disease research using modern microbiological, molecular biological and imaging methods. The project will build on our previous investigations and address topics relevant to these basic needs.
64205;0077/2018;Introduction of new tasks in the practical parts of the course BLLC0111c Medicinal Chemistry - exercises, innovation of selected exercises, extension of modern methods of the pre-analytical phase;Pleskačová Anna, Mgr. Ph.D.;357858;Příjemce;LF;Biochemický ústav;The proposed project aims to strengthen teaching, especially practical teaching, in the field of care of visually impaired patients with the application of behavioural principles and the application of aids that provide for the daily needs of visually impaired individuals. The application of the outputs of this project is possible in the Bachelor of Optics and Optometry, Orthoptics and the follow-up Master of Optometry and Combined Optometry in AJ, respectively in the training of Special Educators and future doctors - ophthalmologists. This includes the creation of an educational
64006;0059/2018;Building Curriculum Infrastructure in Medical Education;Komenda Martin, RNDr. Ph.D.;98951;Partner;LF;Inst.biostatistiky a analýz;The project continuously builds on the project activities of the JRC from the previous years 2012 to 2015, focused on the development and implementation of a clinical guideline for the care of people with non-healing wounds. In previous years, extensive research has been conducted on the process of assessing non-healing wounds in clinical practice (in acute inpatient care, home care and social service settings).   Based on the analysis of the outcomes of previous projects, gaps were identified not only in the assessment of non-healing wounds, but in particular in the lack of erudition of non-medical direct care workers in wound management and in identifying the risk of decubitus lesions. The quality of care for people with non-healing wounds has been assessed within the framework of JRC projects, but the issue of assessing the psychometric properties of assessment tools has not yet been addressed in the Czech Republic. This paper is thus one of the first of its kind. The project should enable further improvement of the quality of care using foreign experience (especially the work of Prof. M. Ahtial from Finland and the validation of the scale for assessing the risk of decubitus) and its implementation. Particular attention will be paid to the identification of patients at risk of developing decubitus in intensive care and to the assessment of inter-rater reliability of individual tools. This is an intervention project. The project activities build on the professional activities of the project co-proposer (member of the committee of the Czech Society for Wound Management - CSWM, member of the committee of the European Wound Management Association - EWMA) and contacts with the Finnish researcher Prof. Maarit Ahtiala. The aim of the project is to improve the professional competences of general nurses in wound management in intensive care. The project is designed as a multidimensional one, linking specific areas of wound management - prevention and diagnosis of pressure ulcers. It also changes the perspective on the identification of lesion risk. The basis of the process of effective care is the correct determination of risk, followed by diagnosis and appropriate treatment - naming and epidemiological assessment of the phenomenon. Based on the project activities, it will be possible to collect relevant data, to perform clinical and population (epidemiological) assessment in a specific health care facility, to plan and implement educational activities for health care professionals in direct care and to increase the knowledge and skills of health care professionals.
63905;0053/2018;Transfer of nanomodified implant surfaces from laboratory conditions to medical applications;Pávková Goldbergová Monika, prof. RNDr. Ph.D.;9447;Příjemce;LF;Ústav patologické fyziologie;Infectious diseases, especially the group of highly contagious infections, is a topical and serious issue nowadays. The knowledge of health care workers about both effective preventive measures and measures to prevent the spread of infections is essential. Isolation and specific barrier nursing practices are important prerequisites to protect other people. The aim of the project activities is to create an online learning support focusing on the specifics of barrier care according to the hazardousness of biological agents according to BSL.
63865;0047/2018;Curriculum Development in Medical study programmes;Komenda Martin, RNDr. Ph.D.;98951;Příjemce-koordinátor;LF;Inst.biostatistiky a analýz;The aim of the project is (i) to create scripts in Czech and English summarizing new trends in primary prevention of dental caries in children and (ii) to implement these issues into teaching at the Master's and Bachelor's degree programmes at the Faculty of Dentistry of the Medical University of Prague. We will draw not only on current knowledge but also on the results of our own scientific activities at the level of molecular biological or behavioural intervention. The project is in line with the MU Long Term Plan 2016-2020, specifically with strategic priorities 2 and 3 and objective 3.2.
